fallacy,text
intentional,"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
"
ad hominem,Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.
faulty generalization,Using the second amendment as justification to allow civilians to own nuclear submarines.
faulty generalization,"Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness."
intentional,"The “prophet” Nostradamus wrote about 500 years ago:

Beasts wild with hunger will cross the rivers,
The greater part of the battle will be against Hister.
He will cause great men to be dragged in a cage of iron,
When the son of Germany obeys no law.

Surely he must have had some vision of Hitler!"
ad hominem,"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?"
ad populum,An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.
circular reasoning,"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?"
fallacy of extension,Mayor Blake wants to create more bicycle lanes in Lowell. Why is he forcing us to give up our cars and bike everywhere?
appeal to emotion,You should give me a promotion. I have a lot of debt and am behind on my rent.
faulty generalization,All women care about are their looks.
false dilemma,"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one."
false dilemma,"Either we go to war, or we appear weak"
appeal to emotion,", tax relief instead of tax cut, or death tax instead of estate tax)"
faulty generalization,"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next!"
circular reasoning,Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.
fallacy of logic,Not tipping your waiter is like stealing money right out of someone's wallet.
appeal to emotion,You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.
faulty generalization,"A study was done recently showing that church attendance was positively correlated with marriage longevity, that is, those couples who attended church together more often were more likely to stay married. This really should not be a surprise considering the general view of divorce within religion. What this does not mean is that any given couple who does not attend church is more likely to get divorced than any given couple that does attend church."
circular reasoning,Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.
ad populum,AttP 1: Jenny & Bert's Economy Conversation
faulty generalization,Allowing gay marriage puts us on the way to polygamy and bestiality
fallacy of relevance,"Debate moderator: ""What will you do to fix the economic crisis?"" Candidate: ""It's important to focus on what started this crisis to begin with. My opponent..."""
ad hominem,"""I used to have that haircut. Then my mom got a job."""
ad hominem,"My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry’s each night!
Mi oponente sugiere que bajar los impuestos será una buena idea, ¡esto viene de una mujer que se come una pinta de Ben y Jerry cada noche!"
circular reasoning,"All useless laws, such as Reform Bill 13, should be repealed."
intentional,"FlatSam: Common sense tells us that if the earth were a sphere, people on the bottom would fall off.
ReasonEric: I don’t think you get to reference something you clearly don’t have.
"
faulty generalization,I work out in the morning because it worked for my friend.
false causality,"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending."
fallacy of credibility,"I am committed to preserving traditional marriage, the union of one man and one woman."
faulty generalization,"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms.

Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated."
ad hominem,"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure."
ad hominem,"A fallacy of relevance where someone rejects or criticizes another person’s view on the basis of personal characteristics, background, physical appearance, or other features irrelevant to the"
fallacy of credibility,"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine."
faulty generalization,Having a television rating system is like being in prison.  Both infringe on one's rights.
faulty generalization,“There aren’t any good restaurants in Sydney; I tried two and they were both horrible.”
fallacy of logic,"I hear the rain falling outside my window; therefore, the sun is not shining."
circular reasoning,"""I stay away from those gatherings because I don't want to be brainwashed."""
false dilemma,"If Mom didn't turn off the air conditioner, then clearly she must be too hot."
fallacy of relevance,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?..."
fallacy of extension,"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn’t be more wrong; the music industry is doing just fine. I can’t believe you think the government should be allowed to regulate what I share with my “friends.” No one wants a world where I can’t loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers."
faulty generalization,"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded."
fallacy of logic,"Mayor: During my previous term as mayor my staff and I spent a great deal of time focusing on our city’s economy, and unemployment reached an all-time high as a result. So clearly you should support my re-election campaign if you are among those still looking for a job."
appeal to emotion,"Sometimes kids ride skateboards and fall off, breaking their arms or legs. Clearly, riding a skateboard is extremely dangerous. Don’t you think skateboards should be banned?"
ad populum,Fortnite is the best game ever. Everyone is playing it!
faulty generalization,"Several years ago, a group of 10 psychologists started a psychology training program. Each of those psychologists is efficient, effective, and highly-regarded. Their training program must be efficient, effective, and highly-regarded."
ad hominem,Don't listen to her advice about math. She doesn't even know how to tie her own shoes!
circular reasoning,George Bush is a good communicator because he speaks effectively.
appeal to emotion,The Supreme Court has just flinched from its responsibility to stop the unjust jailing of two journalists―not charged with any wrongdoing―by a runaway prosecutor who will go to any lengths to use the government's contempt power to force them to betray their confidential sources.
false dilemma,You can either support our police or Black Lives Matter.
ad hominem,"An abusive attack against someone making the argument, instead of the argument itself, is called a/an"
appeal to emotion,"Jon: Why should I bother exercising while my spouse is on vacation stuffing her face with food.
"
ad hominem,"Speaker 1: I think the idea of a moral law requires the existence of a lawgiver (i.e. God).
Speaker 2: Of course you would say that. You’re a Christian. Why should we listen to you?"
ad populum,The latest craze or fad; everyone has to have it.
ad hominem,Ms. Baker assigned me a lot of homework because she’s a witch!
faulty generalization,"""I don't know how to complete my geometry homework tonight; I probably can't pass the course since I can't do this one assignment."""
fallacy of relevance,"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""Speaking of exercise, have you ever played 'Just Dance'? What a great workout!"""
faulty generalization,Three congressional representatives have had affairs. Members of Congress are adulterers.
ad populum,"""Because everybody thinks this way, it must be right."""
ad hominem,That answer you just gave cannot be right because you are always so rude.
ad populum,I am voting for Smith for President because the rest of my family is voting for him.
ad hominem,"Jimmy Swaggart argued strongly against sexual immorality, yet while married, he has had several affairs with prostitutes; therefore, sexual immorality is acceptable."
faulty generalization,"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost. This is an example of which logical fallacy?"
appeal to emotion,"Power lines cause cancer.  I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.”  I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills."
faulty generalization,"Don't ever gamble! Once you start, you won't be able to stop, and you'll end up bankrupt."
circular reasoning,Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.
equivocation,The writer or speaker intentionally misleads the audience by using a word with a double or ambiguous meaning.
circular reasoning,"I lost my phone in the living room, so it will always be in the living room when it is lost."
faulty generalization,Everyone loves Post Malone and can name at least one of his songs! (This is an example of...)
faulty generalization,I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.
ad hominem,This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.
circular reasoning,"Thanks to her enduring popularity with employees, Ella Watson is the best-liked CEO in our company's history."
fallacy of extension,"If you don’t like Lady Gaga, it’s because you hate women."
fallacy of relevance,"John: Can you please help me push my car to the side of the road until the tow truck comes?
Paul: Why push it to the side of the road?  Why not just leave it?
John: It is slowing down traffic unnecessarily where it is.
Paul: Many things slow down traffic—do you feel you need to do something about all them?
John: No, but this was my fault.
Paul: Was it really? Were you the direct cause of your car breaking down?
John: Are you going to help me move this damn car or not?!
"
false causality,Billy murdered all those people because I spanked him when he was a child.
ad populum,"Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!"
circular reasoning,"Sandra tells her mom, ""I deserve to have a later curfew, so you should let me stay out until 10pm!"""
fallacy of credibility,"""Stephen Hawking in the smartest scientist on the planet, so if he says global warming is real, it must be true!"""
ad populum,The Royals are promoting their team for the next season by telling people to come join the team because everyone else has.
fallacy of logic,He sometimes behaves violently when I am around him. I don't know what it is that I am doing to make him become so violent.
faulty generalization,"While doing research for her debate topic on school uniforms, Sara discovered that a local elementary school survey indicated that 72% of its 1st graders wanted uniforms. She used this as evidence to support that all high schools should wear school uniforms.
What fallacy did Sara use here?"
false causality,Incorrectly thinking that one thing leads to another
false causality,"The economy continues to grow as the number of “likes” on my Instagram account continue to increase. Clearly, the two are linked."
faulty generalization,"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles. Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one. Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature. So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning."
circular reasoning,Affirmative Action can never be fair or just. You cannot remedy one injustice by committing another.
ad populum,All my friends are doing a low carb diet. That must be the only way to lose weight so I will do it too.
circular reasoning,Canada is the best country to live in because it's better than the other countries!
ad hominem,A mother who tells the pediatrician that she doesn't trust his judgment because he's never been a mother.
fallacy of extension,"""Florida is the most important state because it has sun and beaches."""
intentional,"Bertrand declares that a teapot is, at this very moment, in orbit around the Sun between the Earth and Mars, and that because no one can prove him wrong, his claim is therefore a valid one."
faulty generalization,People who wear glasses are smarter.
false causality,"""In its origins [AIDS] was entirely a disease of sodomites... That the first case was diagnosed a little over a decade after the so-called ""Gay Rights"" and ""Gay Pride"" movement gained momentum and force can hardly be coincidental."" - Harry Jaffa, Professor Emeritus of Political Philosophy at Claremont McKenna College"
circular reasoning,Order is necessary to justice because justice can only be achieved by a program of social and legal order.
ad populum,Everyone wants the iPhone 11 because it's the best phone on the market!
ad hominem,A parent who says that the teacher doesn't know how to teach because she graduated from a community college.
fallacy of logic,"Either God created the world or evolution happened.
Evolution happened.
Therefore, God did not create the world."
fallacy of extension,"After Will said that we should put more money into health and education, Warren responded by saying that he was surprised that Will hates our country so much that he wants to leave it defenseless by cutting military spending."
intentional,Did your misleading claims result in you getting promoted?
circular reasoning,"America is the best place to live, because it's better than any other country. (This is a good example of...)"
fallacy of logic,"Ivan: You cannot borrow my car because it turns back into a pumpkin at midnight.
Sidney: If you really think that, you’re an idiot.
Ivan: That is an ad hominem; therefore, I can’t be an idiot.
Sidney: I beg to differ."
fallacy of logic,Allowing people to possess guns is like giving a bomb to a bunch of kids.
faulty generalization,A person hanging out in a bar will be an alcoholic
false causality,Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.
ad hominem,The political commercials described the mayor as a “monster” who “hated babies” but they never discussed his plans for the city.
faulty generalization,"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles.  Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one.  Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature.  So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning."
ad hominem,Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity.
false dilemma,Force people to choose between two extreme choices intentionally ignoring the whole spectrum of other possibilities.
fallacy of logic,"All lions are animals.
All cats are animals.
Therefore, all lions are cats."
faulty generalization,My neighbor’s child was kidnapped while playing alone in her yard. My city must be a dangerous place for children.
ad populum,"All the popular guys at school are dyeing their hair purple, so you should, too!"
false causality,Suggesting that John F. Kennedy won the presidency over Richard Nixon exclusively because of the debate on TV
faulty generalization,“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”
fallacy of credibility,"Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true."
faulty generalization,"If I went to the mall a polled 3 people, those opinions would not represent the opinions of the city population."
faulty generalization,"If you forget to floss, you will get cavities, and if you get cavities, you will lose all your teeth by the time you're 30."
faulty generalization,"""Some tall people recently vandalized the park, tall people are irresponsible."""
fallacy of logic,"the analogy 'animal Auschwitz,' which compares the treatment of animals to the treatment of Jews, gays and other groups during the Nazi era."
faulty generalization,"My mother has always told me not to drink milk after eating fish because she knows a friend whose skin got patched after drinking milk and eating fish together. Besides, many other people have told me the same thing so it must be true."
false causality,Every severe recession follows a Republican Presidency; therefore Republicans are the cause of recessions.
intentional,"""Good source of Vitamin D""...*doesn't mention the terrible amounts of sugar."
ad hominem,"harmful atheists favor cloning, so cloning is wrong"
faulty generalization,"Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each.  Therefore, Americans are very wealthy."
fallacy of extension,"Ted: Biological evolution is both a theory and a fact.

Edwin: That is ridiculous! How can you possibly be absolutely certain that we evolved from pond scum!"
false dilemma,"“Eat great food at our restaurant, or eat sad, boring meals at home.”"
fallacy of relevance,"My roommate wants to talk about cleaning out the garage, so I asked her what she wants to do with our patio furniture. Now she's shopping for new patio furniture and not asking me about the garage."
ad populum,"""The majority of people are voting for John Doe, so he must be the best candidate."""
intentional,"""Your Honor, the defendant has been able to provide no strong evidence to prove his innocence; therefore, you must find him guilty."""
faulty generalization,gun registration would start us sliding into the unconstitutional morass of universal arms confiscation.
fallacy of logic,"Poetry is a based on rhythm, and music is based on rhythm, so isn't poetry a kind of music?"
faulty generalization,"If you don’t eat breakfast, you’ll slouch in your desk. If you slouch in your desk, you’ll hurt your back. If you hurt your back, you’ll never become President. What fallacy is being committed here?"
fallacy of logic,"It is possible to fake the moon landing through special effects. Therefore, the moon landing was a fake using special effects."
faulty generalization,"""She's definitely a feminist; she watched the Democratic National Convention"" IS an example of this fallacy."
false dilemma,"""The academic decathlon, Mr. Iglesias? That's a rich kid thing."""
ad populum,This is an example of which fallacy?
fallacy of relevance,There is a lot of commotion regarding saving the environment. We cannot make this world an Eden. What will happen if it does become Eden? Adam and Eve got bored there!
faulty generalization,"If you don't pass this quiz, you will get a low grade. This will affect your score in the gradebook, you will fail Eng II. You will not graduate Highschool. You will not get a good job."
fallacy of logic,Santa has a red suit. My dad has a red suit. My dad must be Santa Claus! (This is an example of...)
false causality,Attributing the cause of World War II to only Adolf Hitler's hatred of the Jews
fallacy of logic,We should stop using hairspray because it is snowing in New York.
intentional,"Earl: Men don't cry
Jaquon: I cry all the time; it's healthy
Earl: Well, REAL men don't cry.
Jaquon: Earl, you should invest in some therapy.
Earl: Los hombres no lloran
Jaquon: lloro todo el tiempo; Es saludable
Earl: Bueno, los hombres REALES no lloran.
Jaquon: Earl, deberías invertir en terapia."
false causality,"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'America’s streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'"
appeal to emotion,"If you don’t agree to sign the labor agreement, we’ll fire you."
fallacy of extension,“My boss isn’t willing to increase the number of vacation days we get each year. That means she doesn’t care about our health. It’s wrong not to care about employees’ health. She should be replaced with someone who cares about the employees.”
fallacy of relevance,"Many people criticize Thomas Jefferson for being an owner of slaves. But Jefferson was one of our greatest presidents, and his Declaration of Independence is one of the most eloquent pleas for freedom and democracy ever written. Clearly these criticisms are unwarranted."
fallacy of extension,"Interviewer: What do you think should be done about people who swear in public?
Man on the Street: I think it should be against the law.
Interviewer: Oh, I suppose you're against the right to free speech, then?"
ad populum,"Red had come up six times in a row on the roulette wheel, so Greg knew that it was close to certain that black would be next up. Suffering an economic form of natural selection with this thinking, he soon lost all of his savings."
faulty generalization,"My grandmother smoked for 80 years and died at 100. Obviously, smoking isn’t harmful."
ad hominem,"Steve: In Sweden, college is free for citizens. How come we can't do that here?
Ed: If you like Sweden so much, move there. The USA would be glad to be rid of your liberal ass!
"
ad hominem,"You've never visited another country, so who cares what you say about immigration reform!"
false dilemma,"I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem."
equivocation,"""I see nobody on the road,"" said Alice.
""I only wish I had such eyes,"" the king remarked...""To be able to see Nobody! And at that distance, too! Why it's as much as I can do to see real people, by this light."""
intentional,"We haven’t found the ruins of Troy, so the city of Troy didn’t really exist."
fallacy of relevance,"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?...
"
fallacy of credibility,"""We should abolish the death penalty. Many respected people, such as actor, Chewbacca, have publicly stated their opposition to it."""
equivocation,"According to the Supreme Court, we have a right to abortion. Therefore, it is right to have an abortion."
ad hominem,The reason our company never makes any money is because we have a buffoon running it!
fallacy of logic,"Not believing in the literal resurrection of Jesus because the Bible has errors and contradictions, is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank."
false dilemma,"Look, you are going to have to make up your mind. Either, you decide that you can afford this stereo, or your decide that you are going to have to go without music for a while."
fallacy of relevance,"A student gets into trouble for not meeting the dress code at her school. When her teacher confronts her, she begins talking about how the dress code is a punishment for girls and boys are able to wear whatever they want."
circular reasoning,How do I know that Beth is the most intelligent person in our geometry class? I know because she's so smart.
fallacy of extension,Mayor Kerr wants to create more bicycle lanes in Greenpoint. Why is he forcing us to give up our cars and bike everywhere?
ad hominem,Look at that face! Could anyone trust that to run the country?
false causality,assumes that short-term deviations will correct themselves
ad populum,"""Everyone should like coffee: 95% of teachers do!"""
fallacy of logic,"All forest creatures live in the woods.
All leprechauns are forest creatures.
Therefore, some leprechauns live in the woods."
intentional,"Ken: There has to be an objective morality because otherwise terms like “right” and “wrong” would be meaningless since they have no foundation for comparison. 
Rob: The terms “right” and “wrong” are based on cultural norms, which do have a subjective foundation -- one that changes as the moral sphere of the culture changes.  The term “heavy” does not have an objective standard, yet we have no problem using that term in a meaningful way.  In fact, very few relational terms have any kind of objective foundation.
Ken: But without an objective morality, we would all be lost morally as a race.
Rob: Many would say that we are.
Ken: But how can you say that torturing children for fun is morally acceptable in any situation?
Rob: Personally, I wouldn’t, but you are implying that anything that is not objective must necessarily be seen in all possible ways. A feather may not be seen as “heavy” to anyone, but that doesn’t mean its “lightness” is still not relative to other objects.
Ken: But God is the standard of objective morality.  Prove that wrong!
Rob: That I cannot do.
"
ad populum,"This fallacy assumes something is true (or right, or good) because other people agree with it."
faulty generalization,"I know four poor families. They are lazy drug addicts. Therefore, all poor people are lazy drug addicts."
intentional,How many times per day do you beat your wife?
false causality,"Maury: Please put all my chips on red 21.
Dealer: Are you sure you want to do that?  Red 21 just came up in the last spin.
Maury:  I didn’t know that!  Thank you!  Put it on black 15 instead.  I can’t believe I almost made that mistake!"
ad hominem,"Don't listen to Senator Bob's opinion. He is a crook, and a spiteful loony man."
appeal to emotion,"Which type of appeal is used in the following phrase from the Declaration of Independence: “He has plundered our seas, ravaged our coasts, burned our towns, and destroyed the lives of our people”?"
false causality,"I knew I should have helped that old lady across the road.  Because I didn’t, I have been having bad Karma all day."
faulty generalization,"An NSA whistle-blower, William Binney, said last week that the agency’s surveillance activities put us on 'a slippery slope toward a totalitarian state'"
faulty generalization,People nowadays only vote with their emotions instead of their brains.
ad populum,"According to the university brochure, the majors with the most students are Economics and Computer Science. Therefore, you should declare one of these majors if you want to have a successful career."
circular reasoning,Why should we put people on trial when we know they are guilty?
faulty generalization,"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?"
ad populum,We now produce the best program in existence; four thousand businesses subscribe to our program.
fallacy of logic,"If I’m psychic, I will be able to see dead people. I see dead people, therefore I’m psychic."
fallacy of relevance,"Ladies and gentlemen of the jury, look at the bloody clothes, the murder weapon. Imagine the helpless screams of the victim. Such a crime deserves no verdict except guilty, guilty!"
fallacy of extension,"If you told a person, ""I think we should all stay inside to bend the curve of COVID-19"" and they replied, ""so I guess you want people to lose their jobs then,"" what logical fallacy are they using?"
fallacy of logic,Running the government is like running a business. You can’t keep running into debt and expect to be successful.
intentional,What did you use to wipe your fingerprints from the gun?
equivocation,He said a lovely lady like me doesn't have to worry about his bear because this is a man-eating bear.
fallacy of logic,"If it’s brown, flush it down.
I flushed it down.
Therefore, it was brown."
false dilemma,"Unless you can close your eyes to abuse, write a check to save this puppy."
intentional,Why must you always take such a stupid and uninformed approach to ethics?
ad hominem,"""He wouldn't make a good president because he looks like a sad muppet."""
faulty generalization,"""I have one Japanese friend and it's true that all of them are numb."""
false causality,"Lois and Jan did a ""snow dance"" one afternoon, and it snowed that night. They claimed to have brought the snow."
ad hominem,"Of course, your minister says he believes in God.  He would be unemployed otherwise."
fallacy of logic,"Jack is a good athlete. Jack comes from Canada. Therefore, all Canadians are good athletes."""
ad hominem,"Gertrude: I am tired of having to fill out these forms all day. Can't we find a more efficient system?
Cindy-Lou: If you're not happy with the way we do things, we can find someone who is!
"
intentional,"If someone said, ""all kids love Cinnamon Toast Crunch, but you don't love it so you must not be a real kid,"" what logical fallacy are they using?"
fallacy of credibility,We should move to the midwest because the Wall Street Journal says the cost of living is cheaper there.
false dilemma,Either we go to war or we appear weak.
faulty generalization,"""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers."""
false dilemma,"Lisa is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise, the school library will close!""
Of what fallacy is this an example?"
false causality,"“President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime.”"
intentional,"""How am I to get in?"" asked Alice again, in a louder tone.
""Are you to get in at all?"" said the Footman, ""That's the first question, you know."""
false dilemma,"Senator Jill: ""We'll have to cut education funding this year.""
Senator Bill: ""Why?""
Senator Jill: ""Well, either we cut the social programs or we live with a huge deficit and we can't live with the deficit."""
ad populum,"Television Advertisement: Rush to shop at Super-Mart this weekend, everyone is doing it!"
ad populum,Appealing to popularity or the fact that many people do something as an attempted form of validation.
false causality,"One day, Megan wore a Donald Duck t-shirt, and she got an ¨A¨ on her Chemistry test. Now she wears a Donald Duck t-shirt every day to Chemistry class. 
Of what fallacy is this an example?"
fallacy of extension,"Parent: You need to clean out your backpack.
Child: You know I have ADD! Why can’t you just accept me as I am?"
circular reasoning,All hunting is inhumane and should be outlawed.
faulty generalization,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students.

What error in reasoning has Jeff made?"
fallacy of logic,"There were wonderful psychologists who passed away several decades ago. If they could be effective in what they did without reading any of the studies or other articles that have been published in the last several decades, there's no need for me to read any of those works in order to be effective."
intentional,Where did you hide the marijuana you were smoking?
appeal to emotion,This technique using vague positive words that actually hold little meaning.
false causality,"“President Jones raised taxes, and then the rate of violent crime went up. Therefore, I think Jones is responsible for the rise in crime."""
faulty generalization,All writing teachers must be awesome because Ms. Lopez is.
false causality,"P1. Lead poisoning can contribute to violent behavior.
P2. Many inner city children have dangerous levels of lead in their blood.
C. Therefore, violent crime in the inner city can be solved by curing the lead problem."
circular reasoning,"What I do know is that if a dirty bomb goes off on Wall Street and the winds are blowing this way, then I and much of this part of Brooklyn are possibly toast. Is that worth possible violations of the rights of some psycho-violent street thug? To me it is."
fallacy of logic,"All men are mortal, and Socrates is a man, therefore Socrates likes dogs."
faulty generalization,"Gas prices have been rising steadily these past few years. Thus, the cost of car ownership is higher than it was previously."
fallacy of extension,"You see someone walking their dog. The dog goes to the bathroom on a lawn but they don’t pick up after their dog. You ask them to clean up after their dog, but they say, “why do you hate dogs?” What fallacy have they committed?"
faulty generalization,"If you don't study, you'll fail your test. Then you will do poorly in the class and your GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up homeless."
false causality,"The economy continues to grow as the number of likes on my Instagram account continue to increase. Clearly, the two are linked."
equivocation,"When the judge asked the defendant why he hadn't paid his parking fines, he said that he shouldn't have to pay them because the sign said 'Fine for parking here' and so he naturally presumed that it would be fine to park there."
appeal to emotion,Television Advertisement: Get all of your stains out by using new and improved Ultra Suds and wash your blues away!
false dilemma,"""Either the city should provide recycling bins or throw out the Recycling Act"" is an example of:"
appeal to emotion,"This is usually used in a company's slogan, using words that are very vague and nonspecific, but sound really nice. ex: ""Eat Fresh."" ""Expect More. Pay Less."""
false dilemma,Either we pass this ordinance or there will be rioting in the streets.
